id,title,release_date,popularity
1022789,Inside Out 2,2024-06-11,3553.5
653346,Kingdom of the Planet of the Apes,2024-05-08,3327.202
573435,Bad Boys: Ride or Die,2024-06-05,2520.868
1001311,Under Paris,2024-06-05,2692.396
823464,Godzilla x Kong: The New Empire,2024-03-27,1610.826
955555,The Roundup: No Way Out,2023-05-31,1435.951
929590,Civil War,2024-04-10,1346.112
626412,Alienoid: Return to the Future,2024-01-10,1163.727
150540,Inside Out,2015-06-17,1529.965
974635,Hit Man,2024-05-16,943.363
719221,Tarot,2024-05-01,1052.546
614933,Atlas,2024-05-23,1014.933
746036,The Fall Guy,2024-04-24,800.717
38700,Bad Boys for Life,2020-01-15,791.696
1025463,Bionic,2024-05-28,743.097
1011985,Kung Fu Panda 4,2024-03-02,734.813
786892,Furiosa: A Mad Max Saga,2024-05-22,660.621
1263421,Baki Hanma VS Kengan Ashura,2024-06-05,660.51
1136318,Battle Over Britain,2023-12-01,646.476
437342,The First Omen,2024-04-03,627.181
